reference_id,tranche,tranche_label,title,date_taken,location,submitting_command,duration,verification,aaro_description,source_url
DOW-UAP-PR21,R01,"Release 01 - May 8, 2026","Unresolved UAP Report, Iraq, May 2022",2022-05,Iraq (page prints undisclosed location),U.S. Central Command,0:10,verified,Two areas of contrast move together near the centre of the sensor field of view throughout the clip.,https://www.dvidshub.net/video/1006059/
DOW-UAP-PR22,R01,"Release 01 - May 8, 2026","Unresolved UAP Report, Syria, July 2022",2022-07,Syria,U.S. Central Command,0:14,verified,"Fourteen seconds of dual-sensor footage from a military platform. The mission report described the UAP as moving from north to south, while the video shows an object crossing right to left through the upper right quadrant at about the five-second mark.",https://www.dvidshub.net/video/1006060/dow-uap-pr22-unresolved-uap-report-syria-july-2022
DOW-UAP-PR23,R01,"Release 01 - May 8, 2026","Unresolved UAP Report, Iraq, December 2022",2022-12,Iraq,U.S. Central Command,0:10,verified,Ten seconds of infrared footage from a U.S. military platform. The mission report characterises the phenomenon as flying west to east; the video shows an area of contrast moving from bottom left to top right of the field of view.,https://www.dvidshub.net/video/1006062/
DOW-UAP-PR46,R01,"Release 01 - May 8, 2026","Unresolved UAP Report, INDOPACOM, 2024",2024 (per title),INDOPACOM AOR,U.S. Indo-Pacific Command,0:09,partial,9 seconds of infrared footage of an unidentified object within the INDOPACOM area of responsibility.,https://www.dvidshub.net/video/1006106/dow-uap-pr46-unresolved-uap-report-indopacom-2024
DOW-UAP-PR47,R01,"Release 01 - May 8, 2026","Unresolved UAP Report, INDOPACOM, 2023",2023 (per title),INDOPACOM AOR,U.S. Indo-Pacific Command,1:59,partial,Nearly two minutes of infrared footage tracking an unidentified object in the INDOPACOM AOR.,https://www.dvidshub.net/video/1006107/dow-uap-pr47-unresolved-uap-report-indopacom-2023
DOW-UAP-PR49,R01,"Release 01 - May 8, 2026","Unresolved UAP Report, Department of the Army, 2026",2026,Not disclosed,Department of the Army,1:49,verified,"Infrared sensor pans between two areas of contrast, rapidly zooms in/out, and cycles contrast settings. No observer description was provided with the original report.",https://www.war.gov/Multimedia/Videos/videoid/1006111/
DOW-UAP-PR051,R02,"Release 02 - May 22, 2026","""Syrian UAP instant acceleration""",01.01.2021 (DVIDS field),Syria,U.S. Central Command,5:02,verified,"Infrared clip AARO says was heavily digitally altered before upload (replayed at 50%/25% speed, inverted, re-zoomed) prior to reaching a classified network in June 2024; original raw excerpt runs 2:52.",https://www.dvidshub.net/video/1007707/dow-uap-pr051-syrian-uap-instant-acceleration
DOW-UAP-PR052,R02,"Release 02 - May 22, 2026","""UAP USO Formation [CALLSIGN] (Mission)""","06.01.2024 (= upload date, not incident date)",Undisclosed location,Unspecified platform,8:16,verified,"Infrared clip shows 4 areas of contrast in a formation, with multiple apparent video cuts and contrast/zoom changes; AARO notes it was digitally altered before upload.",https://www.dvidshub.net/video/1007708/dow-uap-pr052-uap-uso-formation-callsign-mission
DOW-UAP-PR053,R02,"Release 02 - May 22, 2026","""Cigar Shaped or Fast Spherical UAP clip 15 OCT 22""",2022-10-15,Undisclosed (CENTCOM),U.S. Central Command,0:21,verified,"An area of contrast moves across the field of view, shown in real time plus two slower replays. Digitally altered before being uploaded to a classified network in June 2024.",https://www.dvidshub.net/video/1007709/
DOW-UAP-PR054,R02,"Release 02 - May 22, 2026","""Spherical UAP Erratic movement [CALLSIGN] (Mission) 2022""",2022-08,EUCOM area of responsibility,U.S. European Command,3:57,verified,"The sensor tracks an area of contrast throughout, with intermittent framing. Digitally altered prior to upload.",https://www.dvidshub.net/video/1007711/
DOW-UAP-PR055,R02,"Release 02 - May 22, 2026","""Spherical UAP over AFG in and out of clouds, 23 Nov 2020""",2020-11-23,Afghanistan operations area,U.S. Central Command,0:47,verified,"An area of contrast transits the frame, presented first with zoomed, sharpened, motion-tracked enhancement at reduced speed, then as the original unmodified footage.",https://www.dvidshub.net/video/1007713/
DOW-UAP-PR056,R02,"Release 02 - May 22, 2026","""Spherical UAP pulsing over water [CALLSIGN]""",2024-06,Undisclosed,AARO,3:32,verified,"An area of contrast stays generally centred across three segments, with a brief sensor contrast-mode switch mid-sequence.",https://www.dvidshub.net/video/1007718/
DOW-UAP-PR057a,R02,"Release 02 - May 22, 2026","""Spherical UAP in clouds""",01.01.2023 (DVIDS field),At sea,Unspecified platform (INDOPACOM),1:10,verified,"Infrared footage tracking a spherical contrast area. AARO flags this as a DUPLICATE of PR57b, which a different uploader labeled ""East China Sea, 05 Jan 2023"" - the sea named here (Yellow Sea) reflects one uploader's title, not a confirmed location.",https://www.dvidshub.net/video/1007720/dow-uap-pr057a-spherical-uap-clouds
DOW-UAP-PR058,R02,"Release 02 - May 22, 2026","""[CALLSIGN] (Mission) UAP""",2024 (per prior report),INDOPACOM AOR,U.S. Indo-Pacific Command,4:48,verified,"The sensor tracks an area of contrast; three segments at 8x speed, stabilised original speed, and unmodified original, with quality degrading in the final section. Uploaded to a classified network June 2024, digitally altered prior to upload.",https://www.dvidshub.net/video/1007723/dow-uap-pr058-callsign-mission-uap
DOW-UAP-PR059,R02,"Release 02 - May 22, 2026","""NAG UAP 1 Jun 20""",06.01.2020 (DVIDS field),Undisclosed location,U.S. Central Command,4:51,verified,"Infrared sensor zooms/pans to track one area of contrast for nearly 5 minutes, applying a targeting reticle for a sustained ~3-minute stretch.",https://www.dvidshub.net/video/1007727/dow-uap-pr059-nag-uap-1-jun-20
DOW-UAP-PR060,R02,"Release 02 - May 22, 2026","""Spherical UAP [CALLSIGN] 2021/04/12 obj 2""",2021-04-12,CENTCOM area of responsibility,U.S. Central Command,4:50,verified,"Full-motion video and infrared footage; the contrast transits right to left, re-enters, and the sensor pans left and up to track it.",https://www.dvidshub.net/video/1007734/
DOW-UAP-PR061,R02,"Release 02 - May 22, 2026","""Spherical UAP [CALLSIGN] 2021/04/12 vid 0""",04.12.2021 (per title),CENTCOM AOR,U.S. Central Command,4:46,verified,An area of contrast enters from upper right and is tracked across the frame. After about a minute the sensor changes modes as the contrast becomes indistinct.,https://www.dvidshub.net/video/1007735/dow-uap-pr061-spherical-uap-callsign-2021-04-12-vid-0
DOW-UAP-PR062,R02,"Release 02 - May 22, 2026","""Spherical UAP [CALLSIGN] 2021/04/12 vid 1""",2021-04-12,CENTCOM area of responsibility,U.S. Central Command,4:49,verified,Colour and infrared footage; the sensor tracks a high-contrast area through panning and zoom. Lacked established chain-of-custody documentation.,https://www.dvidshub.net/video/1007739/
DOW-UAP-PR063,R02,"Release 02 - May 22, 2026","""Spherical UAP [CALLSIGN] 2021/04/12 vid 2""",2021-04-12,CENTCOM area of responsibility,U.S. Central Command,4:49,verified,The sensor tracks an area of contrast for roughly 50 seconds before panning away.,https://www.dvidshub.net/video/1007740/
DOW-UAP-PR064,R02,"Release 02 - May 22, 2026","""AFSOC Kabul UAP Jul 2017""",2017-07,Afghanistan,U.S. Air Force Special Operations Command,0:17,verified,"An area of contrast enters the field of view at the left edge and exits right, visible for roughly one second of the clip. Uploaded to a classified network in June 2024 though recorded in 2017.",https://www.dvidshub.net/video/1007741/
DOW-UAP-PR068,R02,"Release 02 - May 22, 2026","""UAP Captured by Fifth-Gen Aircraft, 20 Jan 23""",01.20.2023 (per title),NORTHCOM AOR,U.S. Northern Command,1:03,verified,"A sensor tracks an area of contrast, keeping it generally centred, which briefly moves in and out of frame from the top as the sensor pans; a second area of contrast becomes visible in the upper right at 48 seconds. Source note: the DVIDS Date Taken field reads 23 Jan 2020 while the title and IIR reference indicate 20 Jan 2023 — a conflict within the source record itself, recorded here rather than resolved.",https://www.dvidshub.net/video/1007780/dow-uap-pr068-iir-1-666-s0151-23-video-footage-unidentified-aerial-phenomenon-uap-captured-fifth-generation-aircraft
DOW-UAP-PR069,R02,"Release 02 - May 22, 2026","""F/A-18 FLIR UAP""",2022 (per prior report),NORTHCOM AOR,U.S. Northern Command,0:29,partial,Short FLIR clip from an F/A-18 briefly locking a reticle onto an object before losing track.,https://www.dvidshub.net/video/1007781/dow-uap-pr069-f-18-flir-uap
DOW-UAP-PR070,R02,"Release 02 - May 22, 2026","""IIR 1 655 S0301 23 / Eglin AFB Aircrew Observed UAP, 13 Feb 23""",2023-02-13,NORTHCOM area of responsibility,U.S. Northern Command,0:30,verified,"The sensor pans to keep an area of contrast centred, cycling contrast modes several times; at 22 seconds the contrast loses distinctiveness against the background.",https://www.dvidshub.net/video/1007783/
DOW-UAP-PR071,R02,"Release 02 - May 22, 2026","USAF ANG F-16C Shoots Down UAP over Lake Huron, 12 Feb 2023",02.12.2023 (per title),Lake Huron / NORTHCOM,U.S. Northern Command / Air National Guard,0:46,verified,"At about 20 seconds the footage appears to depict a kinetic interaction between two areas of contrast, the initial subject fragmenting in a radial displacement pattern. AARO notes the material lacked a substantiated chain of custody.",https://www.dvidshub.net/video/1007784/dow-uap-pr071-usaf-ang-f-16c-callsign-callsign-shoots-down-uap-over-lake-huron-with-weapon-system-12-feb
DOW-UAP-PR089,R02,"Release 02 - May 22, 2026","""31 AUG [CALLSIGN] Observes UAP, part 2""",2020-08-31,Undisclosed,AARO,4:58,verified,Multiple areas of contrast move through frame; the sensor tracks one near centre as others enter and exit. AARO notes the material lacks a substantiated chain of custody.,https://www.dvidshub.net/video/1007712/
