date,title,agency,category,type,period,source_url
2004-11-14,"USS Nimitz ""Tic Tac"" Encounter (event date; video released 2017/2020)",U.S. Navy,Sensor Footage / Incident,Video (declassified),"Single incident, Nov 2004",https://www.cbsnews.com/news/ufo-hearing-congress-uap-takeaways-whistleblower-conference-david-grusch-2023/
2020-04-27,"Release of Three Navy Videos (FLIR1, Gimbal, GoFast)",Department of Defense,Sensor Footage / Media Release,Video (official release),Incidents 2004 & 2015,https://www.war.gov/News/Releases/Release/Article/2165713/statement-by-the-department-of-defense-on-the-release-of-historical-navy-videos/
2021-06-25,Preliminary Assessment: Unidentified Aerial Phenomena,ODNI (with DoD/UAPTF),Official Report,Congressionally-mandated report,Nov 2004 – Mar 2021 (144 reports),https://www.dni.gov/files/ODNI/documents/assessments/Prelimary-Assessment-UAP-20210625.pdf
2022-07-20,Establishment of the All-domain Anomaly Resolution Office (AARO),Department of Defense,Legislation / Policy Action,Office Charter (NDAA FY2022/2023 mandate),Ongoing,https://media.defense.gov/2022/Jul/20/2003039074/-1/-1/1/ESTABLISHMENT-OF-THE-ALL-DOMAIN-ANOMALY-RESOLUTION-OFFICE.PDF
2023-01-12,2022 Annual Report on Unidentified Aerial Phenomena,ODNI / AARO,Official Report,Annual Report (statutory),Mar 2021 – Aug 2022 (510 cumulative reports),https://www.dni.gov/files/ODNI/documents/assessments/Unclassified-2022-Annual-Report-UAP.pdf
2023-07-26,"House Oversight Hearing: ""UAP: Implications on National Security, Public Safety, and Government Transparency""",House Oversight Committee (Subcommittee on National Security),Congressional Testimony,Public Hearing (sworn testimony),N/A,https://www.c-span.org/clip/house-committee/excerpts-from-the-congressional-hearing-on-uap/5105885
2023-09-14,NASA UAP Independent Study Team – Final Report,NASA,Official Report,Independent scientific study,N/A,https://www.nasa.gov/uap
2024-03-08,"AARO Historical Record Report, Volume I",Department of Defense / AARO,Official Report,"Historical Review (statutory, NDAA FY2023 mandate)",1945 – 31 October 2023,https://www.aaro.mil/Portals/136/PDFs/AARO_Historical_Record_Report_Vol_1_2024.pdf
2024-11-14,FY2024 Consolidated Annual Report on Unidentified Anomalous Phenomena,Department of Defense / AARO,Official Report,Annual Report (statutory),"May 1, 2023 – June 1, 2024",https://media.defense.gov/2024/Nov/14/2003583603/-1/-1/0/FY24-CONSOLIDATED-ANNUAL-REPORT-ON-UAP-508.PDF
2024-11-19,Senate/House Open Hearing following FY2024 AARO Report,U.S. Congress,Congressional Testimony,Public Hearing,N/A,https://defensescoop.com/2024/11/14/uap-aaro-chief-unveils-pentagon-annual-caseload-analysis-new-efforts/
2026-02-19,Presidential Directive on UAP Declassification,President Trump (Executive Action),Legislation / Policy Action,Presidential Directive,N/A,https://en.wikipedia.org/wiki/United_States_UFO_files
2026-05-08,PURSUE Release 01 (First UAP File Tranche),Department of War / AARO / ODNI (7-agency effort),Sensor Footage / Media Release,Document & Video Release,1944 - 2026,https://www.war.gov/News/Releases/Release/Article/4480582/department-of-war-releases-unidentified-anomalous-phenomena-files-in-historic-t/
2026-05-18,"NSA ""Top Secret Umbra"" UAP Records (FOIA Release)",National Security Agency,Legislation / Policy Action,FOIA-Compelled Document Release,1960s - 1980s (historical SIGINT records),https://disclosure.org/news/nsa-top-secret-umbra-uap-foia-release
2026-05-22,PURSUE Release 02,Department of War / AARO,Sensor Footage / Media Release,Document & Video Release,2019 - 2024 (plus some earlier cases),https://www.war.gov/News/Releases/Release/Article/4499305/department-of-war-publishes-second-release-of-unidentified-anomalous-phenomena/
2026-06-12,PURSUE Release 03,Department of War / AARO / FBI / CIA,Sensor Footage / Media Release,Document & Video Release,1950s - 2026,https://www.war.gov/News/Releases/Release/Article/4515408/department-of-war-publishes-third-release-of-unidentified-anomalous-phenomena-f/
2026-07-10,PURSUE Release 04,Department of War / AARO / NASA,Sensor Footage / Media Release,Document & Video Release,1940s - 2025,https://www.war.gov/News/Releases/Release/Article/4539898/department-of-war-publishes-fourth-release-of-unidentified-anomalous-phenomena/
2026-07-21,FY2025 Consolidated Annual Report on Unidentified Anomalous Phenomena,Department of Defense / AARO,Official Report,Annual Report (statutory),"June 2, 2024 – May 30, 2025",https://www.aaro.mil/Portals/136/PDFs/FY25%20UAP%20Annual%20Report/AARO_FY2025_Consolidated_Annual_Report_on_UAP.pdf
2026-07-31,ODNI Memo Rescinding NDA Restrictions on UAP Disclosure,Office of the Director of National Intelligence,Legislation / Policy Action,Internal Policy Memorandum,N/A,https://avi-loeb.medium.com/uap-disclosure-is-no-longer-optional-564443bd77ed
2026-08-07,PURSUE Release 05,Department of War / FBI / CIA / State Dept / Executive Office of the President,Sensor Footage / Media Release,Document & Video Release,1947 - 2026,https://www.war.gov/News/Releases/Release/Article/4565994/department-of-war-publishes-fifth-release-of-unidentified-anomalous-phenomena-f/
2026-09-14,DoW Legal Waiver Authorising UAP Disclosures to PURSUE,Department of War,Legislation / Policy Action,Legal Waiver / Policy Action,N/A,https://www.war.gov/News/Releases/Release/Article/4600020/department-of-war-issues-legal-waiver-to-authorize-unidentified-anomalous-pheno/
2026-09-18,PURSUE Release 06,Department of War / AARO (with Colorado local law enforcement),Sensor Footage / Media Release,Document & Video Release,1952 - 2025,https://www.war.gov/News/Releases/Release/Article/4604795/department-of-war-publishes-sixth-release-of-unidentified-anomalous-phenomena-f/
